Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary($) /month ,Company age,job_state,Remote,seniority,desc_len
Zenith ,Data Scientist,87500.0,Company Description Zenith ROI Agency Our 6000 specialists across 95 markets offer unparalleled capabilities Media Data Technology Commerce Content We put effectiveness heart work solve complex challenges drive successful business outcomes grow clients’ businesses Zenith part Publicis Media media arm Publicis Groupe Job Description What Zenith Data Sciences Working closely Business Planning Analytics teams Data Sciences designs implements statistical models machine learning solutions tie clients’ marketing realworld business goals We use models understand past performance predict future performance inform optimize future decisions Our work brings clients closer marketing helping understand talking right people right way,3.8,"New York, NY",10000+ Employees,1988,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,7291.67,36, NY,0.0,nf,922
adMarketplace ,"Measurement & Analytics, Data Scientist",105000.0,Who We Are At adMarketplace mission deliver engaging consumer search experiences empowering advertisers measure media performance accurately Today millions people worldwide engage exclusive transparent media placements across internets leading browsers shopping apps review sites Our mantra adMarketplace let winners run From first day AMP youll opportunity start making valuable contribution company Weve built awardwinning culture around five core values known 5Cs Curiosity Collaboration Creative Conflict Commitment Competitiveness With guiding values adMarketplace seeks empower every employee succeed continue learning best work,2.4,"New York, NY",51 to 200 Employees,2000,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,8750.0,24, NY,0.0,nf,806
Cohen Veterans Bioscience ,Data Engineer- Neuroimaging,112500.0,Data Engineer Neuroimaging Reports Chief Information Officer Cohen Veterans Bioscience CVB seeking Data Engineer join team The role involves development data processing pipelines multimodalmultidomain datasets specific emphasis neuroimaging data This handson role involves working multiple projects including leveraging inhouse neuroimaging cohorts conjunction comprehensive clinical biomarker assessments collaborating internal external partners diverse clinical areas posttraumatic stress disorder PTSD traumatic brain injury TBI contributing broader scope data ingest pipeline development within BRAINCommons platform,3.0,United States,1 to 50 Employees,-1,Nonprofit Organization,Unknown,Unknown,Unknown / Non-Applicable,9375.0,-1,United States,0.0,nf,745
Cyberhill Partners LLC ,Data Engineer / Data Scientist,122130.0,Data Engineer Data Scientist TSSCI Fullscope poly McLean Dulles VA Cyberhill Intel Cyberhill Intel premier software services provider focused partnering worlds highprofile software businesses organizations We built business around passion leveraging leading edge software solve worlds difficult national security intelligence problems Our goal partner worldclass software companies around world leverage mission expertise help deliver software US Government partners,1.0,"McLean, VA",1 to 50 Employees,-1,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,10177.5,-1, VA,0.0,nf,590
HHRI ,Data Scientist,92500.0,The Hennepin Healthcare Research Institute HHRI seeking experienced Data Scientist join Department Surgerys research team Experience epidemiology public health andor statistics clinical research preferred This hybrid role requiring periodic onsite presence downtown Minneapolis MN POSITION SUMMARY The data scientist integral part research team manages data analysis multiple projects creates maintains databases RedCAP undertakes complex statistical analysis reports visualize results Preference given experience working violence prevention research ESSENTIAL JOB FUNCTIONS,3.6,"Minneapolis, MN",5001 to 10000 Employees,1887,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),7708.33,137, MN,0.0,nf,683
Maimonides Medical Center ,Senior Data Analyst / Manager,112000.0,Senior Data AnalystManager THE BEST CAREERS RIGHT HERE BROOKLYN’S LEADING HEALTHCARE SYSTEM MAIMONIDES TOP TEN IN THE US FOR CLINICAL OUTCOMES We’re Maimonides Health Brooklyn’s largest healthcare system serving 250000 patients year system’s 3 hospitals 1800 physicians 80 communitybased practices outpatient centers The system anchored Maimonides Medical Center one nation’s largest independent teaching hospitals home centers excellence numerous specialties Maimonides Midwood Community Hospital formerly New York Community Hospital 130bed adult medicalsurgical hospital Maimonides Children’s Hospital Brooklyn’s children’s hospital pediatric trauma center Maimonides’ clinical programs rank among best country patient outcomes including Heart Vascular Institute Neurosciences Institute Bone Joint Center Cancer Center Maimonides affiliate Northwell Health major clinical training site SUNY Downstate College Medicine,3.3,"Brooklyn, NY",5001 to 10000 Employees,1911,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),9333.33,113, NY,0.0,senior,1087
360 IT Professionals ,Data Scientist,129201.0,Job Description Job Title Data Scientist Location San Mateo CA Contract 6 Months Need 4 years work experience Heavy deep learning AND Machine Learning AND Algorithm experience Additional Information All information kept confidential according EEO guidelines,2.4,"San Ramon, CA",1 to 50 Employees,-1,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),10766.75,-1, CA,0.0,nf,291
CLARA analytics ,Data Scientist,154681.0,Company Description At CLARA analytics build AIbased InsurTech products help workers’ compensation claims examiners get front claims easytouse AI machine learning Our CLARA Claims product helps claims managers focus teams’ efforts CLARA Providers helps connect injured worker right doctor fast While deep data science behind solutions packaged easytouse formats start delivering value months Job Description CLARA analytics looking extraordinary data scientists synthesize leverage evergrowing datasets help radically transform operational performance workers’ compensation sector,4.3,"Santa Clara, CA",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,12890.08,7, CA,0.0,nf,723
FanDuel ,Senior Data Scientist,156611.0,ABOUT FANDUEL FanDuel Group FanDuel innovative sportstech entertainment company changing way consumers engage favorite sports teams leagues The premier gaming destination United States FanDuel consists portfolio leading brands across gaming sports betting daily fantasy sports advancedeposit wagering TVmedia FanDuel presence across 50 states approximately 17 million customers 28 retail locations FanDuel based New York offices New Jersey Georgia California Oregon Canada Scotland Its networks FanDuel TV FanDuel broadly distributed linear cable television relationships leading directtoconsumer overthetop platforms,4.1,"Jersey City, NJ",501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),13050.92,15, NJ,0.0,senior,766
VSolvit ,DATA SCIENTIST/IT SME SPECIALIST,172500.0,Job Summary Note Position requires local residence Hybrid remote two three days required Office VSolvit looking broadlytalented Data Scientist quantitative research skills take active role data analytics team You work vast amounts DEA data discover hidden information applying modern statistical MLAI techniques The main scripting languages used program Python R The databases MS SQL Server Elastic Search used data warehouses Kibana Tableau BI Visualization tools This mature team high profile charged delivering solutions Data Sciences enabling maximum leverage DEA master data At higher Level position part team developers IT SME’s support DEA data warehouse project,3.9,"Fairfax, VA",201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,14375.0,18, VA,1.0,nf,860
Longenecker & Associates ,Data Scientist,102114.0,Longenecker Associates LA seeking Data Scientist Oak Ridge TN The selected employee requisite experience knowledge skills abilities manage help manage provide solutions positive impact organization including mentoringcoaching team members LA womanowned small business trusted partner enabling critical missions across US Department Energy DOE complex 30 years We contribute DOE’s nuclear security environmental remediation enterprise providing highestcaliber staff experts LA unconditionally committed mission success wellbeing employees nation environment Our team members passionate building healthier environment generations come We community interfaces effectively communicates levels management government If passion excellence seek opportunities engage mission critical work consistently exceed expectations apply join professional family Typical Duties Responsibilities Data Science Role Lessons Learned LL Program Role Human Performance Improvement HPI Role Training Role Other duties special projects assigned EFI Oak Ridge TN Due nature work selected applicant must able work site Successful candidates able perform essential functions job reasonable accommodation This job posting reflects management’s assignment essential functions descriptions listed restrict management’s right assign reassign duties responsibilities job time As LA employee eligible competitive salary well comprehensive benefits package including healthcare medical dental 401K plan paid time We believe investing employees beyond compensation LA employee access inhouse training career pathing mentoring award programs tuition reimbursement much,4.1,"Oak Ridge, TN",51 to 200 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),8509.5,-1, TN,0.0,nf,2123
UNKNOWN ,Data Scientist,123945.0,Responsibilities Develop implement machine learning algorithms models data analysis prediction Conduct data mining statistical analysis uncover patterns insights large datasets Collaborate crossfunctional teams identify business problems provide datadriven solutions Design build data pipelines workflows streamline data processing analysis Perform exploratory data analysis identify trends anomalies opportunities improvement Present findings insights stakeholders clear concise manner,-1.0,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10328.75,-1,Remote,1.0,nf,587
Attain ,Data Scientist,138315.0,About Attain Built consumers companies alike In world driven data believe consumers businesses coexist Our founders vision empower consumers leverage greatest asset—their data—in exchange modern financial services Built vision mind platform allows consumers access savings tools earned wages rewards without cost hidden fees In exchange give permission use realtime data research insights targeted advertising At Attain contribution help us build equitable efficient data sharing ecosystem—whether helping consumers access modern financial services businesses leverage data achieve better outcomes Youll opportunity work directly handson leaders missiondriven individuals everyday,3.8,"Redwood City, CA",501 to 1000 Employees,2009,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),11526.25,15, CA,0.0,nf,841
Cyberhill Partners LLC ,Data Scientist / Engineer (TS/SCI),118031.0,Data Scientist Data Engineer TSSCI Tampa FL Cyberhill Intel Cyberhill Intel premier software services provider focused partnering worlds highprofile software businesses organizations We built business around passion leveraging leading edge software solve worlds difficult national security intelligence problems Our goal partner worldclass software companies around world leverage mission expertise help deliver software US Government partners,1.0,"Tampa, FL",1 to 50 Employees,-1,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,9835.92,-1, FL,0.0,nf,565
AnaVation ,Data Scientist,113346.0,Be Challenged Make Difference In world technology people make difference We believe invest great people great things happen At AnaVation provide unmatched value customers employees innovative solutions engaging culture Description Task Performed AnaVation seeking Data Scientist join team support mission critical customer Reston VA As Data Scientist employ data science analytic methodologies use data sets identify patterns relationships The Data Scientist support automation reporting data visualization improve cyber service delivery capabilities You research latest technologies conduct high performing highly scalable distributed big data analysis order produce faster relevant datascience analytics visualize results You support quarterly innovation white papers work Engineering team identify,4.8,"Reston, VA",51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),9445.5,11, VA,0.0,nf,1005
Spokeo ,"Senior Data Scientist, Data Products",165150.0,Spokeo people search engine identity platform enlightens empowers customers With nearly 15 billion records 18 million monthly visitors reconnect friends reunite families prevent fraud We looking Senior Data Scientist Data Products help us turn vast repository data usable information leveraging solutions include matching techniques machine learning graph theory resolve entities across disparate data sets discover relationships among entities What Youll Do This includes estimate time spent This subject change This remote position,3.9,"Pasadena, CA",201 to 500 Employees,2006,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,13762.5,18, CA,1.0,senior,681
adMarketplace ,Senior Machine Learning Engineer,195000.0,Who We Are At adMarketplace mission deliver engaging consumer search experiences empowering advertisers measure media performance accurately Today millions people worldwide engage exclusive transparent media placements across internets leading browsers shopping apps review sites Our mantra adMarketplace let winners run From first day AMP youll opportunity start making valuable contribution company Weve built awardwinning culture around five core values known 5Cs Curiosity Collaboration Creative Conflict Commitment Competitiveness With guiding values adMarketplace seeks empower every employee succeed continue learning best work,2.4,United States,51 to 200 Employees,2000,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,16250.0,24,United States,0.0,senior,806
Tsunami Tsolutions ,Data Scientist,106654.0,Tsunami Tsolutions seeking motivated Data Scientist join Aviation Analytics department This person responsible developing deploying solutions various customers utilize wide range analytics tools They work team members customers identify new sources value take actions capture The selected individual also work ensure data quality provide metrics indicators current state This role also require presentation findings customers senior management NOTE This position requires access technologies hardware subject US national Security based export control requirements All applicants must US Citizen,2.5,"Glastonbury, CT",1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,8887.83,-1, CT,0.0,nf,727
"The Kenjya-Trusant Group, LLC ",(PMSS) Data Scientist II,118661.0,Clearance Required Secret Clearance Job Description The KenjyaTrusant Group LLC seeking candidate fill role Data Scientist support Department State DOSDiplomatic Security contract This contract provides support DOS Business Process Improvement Organizational Change Management Policy Support Program Communication Management Special Projects Duties Tasks Responsibilities,3.7,"Washington, DC",201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),9888.42,22, DC,0.0,nf,431
Swish Analytics ,Data Scientist - Trading Analytics,150000.0,Company Description Swish Analytics sports analytics betting fantasy startup building next generation predictive sports analytics data products We believe oddsmaking challenge rooted engineering mathematics sports betting expertise intuition Were looking teamoriented individuals authentic passion accurate predictive realtime data execute fastpaced creative continuallyevolving environment without sacrificing technical excellence Our challenges unique hope comfortable uncharted territory passionate building systems support products across variety industries consumerenterprise clients Job Description,5.0,Remote,1 to 50 Employees,2014,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,12500.0,10,Remote,1.0,nf,739
UNKNOWN ,Data Scientist,124546.0,Duties Apply advanced statistical predictive modeling techniques analyze large datasets extract insights Develop implement machine learning algorithms models solve complex business problems Collaborate crossfunctional teams identify data requirements develop datadriven solutions Clean preprocess analyze structured unstructured data using programming languages Python R Utilize natural language processing techniques extract information text data Design implement databases store manage large volumes structured unstructured data Develop data visualizations dashboards effectively communicate insights stakeholders Stay uptodate latest trends advancements data science machine learning,-1.0,United States,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10378.83,-1,United States,0.0,nf,831
"E-Logic, Inc. ",Data Scientist,44.5,The Department Environmental Protectiont seeking highly skilled motivated Data Scientist join dynamic team The ideal candidate possess strong background data analysis machine learning statistical modeling As Data Scientist play key role extracting valuable insights data sets contributing strategic decisionmaking processes developing innovative solutions complex problems Responsibilities Develop implement machine learning models algorithms solve complex business problems Analyze large datasets extract actionable insights patterns Design optimize databases store retrieve data efficiently Collaborate crossfunctional teams identify business requirements develop datadriven solutions Apply statistical analysis techniques interpret data validate models Develop deploy predictive models using tools TensorFlow spark AWS Perform data mining ETL Extract Transform Load processes ensure data quality integrity Present findings recommendations stakeholders clear concise manner,4.4,"Tallahassee, FL",1 to 50 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.71,17, FL,0.0,nf,1176
Acorns ,Sr. Data Scientist,193467.0,At Acorns look financial best interest upandcoming We innovators We make bold decisions We stay curious inspiring one another push past previous thresholds possibility We one team building diverse community team members partners customers walks life foster creativity challenge conventional thinking put tools wealthmaking everyones hands We looking missionaries rooted purpose join team We achieve goals team missionaries working toward shared purpose mission Our mission With benevolence courage look financial best interests upandcoming beginning empowering proud step microinvesting,4.0,"Los Angeles, CA",201 to 500 Employees,-1,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,16122.25,-1, CA,0.0,senior,786
Clean Power Research ,Data Scientist,110000.0,Who Are We Looking job makes real difference world today one you’ll proud look back 20 30 40 years This Clean Power Research® advancing energy transformation cloud software informs streamlines values energyrelated decisions processes utilities energy professionals consumers We’re growing company counts 10 top 10 Fortune 500 utilities many largest renewable energy companies US customers We’re focused expanding market reach impact new software technologies help solve energy industry’s hardest problems At Clean Power Research every employee seat table important role,4.7,"Bellevue, WA",51 to 200 Employees,1998,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,9166.67,26, WA,0.0,nf,758
EX Squared Outcoding ,Data Scientist,124823.72,Become Outcoder Data Scientist We looking skilled Data Scientist join analytics team The ideal candidate adept using large data sets find opportunities product process optimization using models test effectiveness different courses action You responsible developing algorithms data modeling creating new data processing techniques Your primary focus applying data mining techniques statistical analysis building highquality prediction systems integrated products What youll need successful Strong problemsolving skills emphasis product development,4.0,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,686
Curated ,Data Scientist,134083.0,Curated mission help people find exactly theyre looking Whether first snowboard brand new baby stroller much needed upgrade coffee machine – shopping hard stakes high We make easy connecting customers Real Experts answer needs faster Curated home Americas biggest community Real Experts Real Experts arent sales assistants Theyre people living ordinary lives also happen obsessively passionate something They real ontheground lived experience — theyre proficient tennis theyre fluent Making highstakes purchases easier beginning Our Real Experts connect customers ways would unimaginable retail context They work hard understand needs trade stories help make plans keep touch,4.0,"San Francisco, CA",51 to 200 Employees,2017,Company - Private,Sporting Goods Stores,Retail & Wholesale,Unknown / Non-Applicable,11173.58,7, CA,0.0,nf,889
MetroStar ,Data Scientist 4897,127213.0,As Data Scientist youll integrate crossfunctional teams specializing development solutions business process analysis informing architecture implementation business processes programs plans guidance DoD Business Systems goal making impact across federal government We know cant great technology services without amazing people At MetroStar obsessed people led twodecade legacy building best brightest teams Because know future relies deep understanding relentless focus people live mission A passion people Value customers If think see delivering mission pursuing goals us check job description,3.7,"Quantico, VA",201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),10601.08,25, VA,0.0,nf,827
SpanIdea Systems ,Data Scientist,32.5,No C2CThird party resumes H1B transfer candidates Roles Responsibilities Implement Generative AI solutions commercial real estate trend analysis property valuation decision support Conduct statistical analysis provide actionable insights strategic decisionmaking Design deploy AI agents automate processes enhance decision support real estate transactions Implement AI orchestration streamline optimize interaction multiple AI components ensuring seamless workflows,3.7,"Fremont, CA",1001 to 5000 Employees,2011,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),2.71,13, CA,0.0,nf,523
AMERICAN HEALTH MARKETPLACE ,Junior Data Scientist,96520.0,Description As Junior Data Scientist work guidance experienced data scientists create complex reports using varying datasets Your primary responsibility assist development implementation datadriven solutions contributing overall success data science initiatives Supervisory Responsibilities No Essential Job Functions Assist analyzing large datasets identify trends patterns insights Collaborate senior data scientists model testing validation Clean preprocess organize raw data analysis Requirements,3.6,"Oakland Park, FL",Unknown,-1,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,8043.33,-1, FL,0.0,junior,612
Parafin ,Data Scientist (Experienced),197500.0,About Us At Parafin mission grow small businesses Small businesses backbone economy yet banks back Parafin technology company builds infrastructure enables small businesses get easy access financial services via platforms sell Parafins first product offers capitalasaservice online platforms Parafin currently powers capital programs platforms ranging Series B postIPO companies DoorDash Amazon Worldpay We tightknit team engineers designers coming organizations Stripe Square Plaid Coinbase Robinhood Affirm Uber CERN excited helping hundreds thousands small businesses grow thrive building products leaders top companies started use every day We backed prominent venture capitalists Ribbit Capital Thrive Capital GIC Index Ventures Green Oaks Capital SV Angel,4.1,"San Francisco, CA",51 to 200 Employees,2020,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,16458.33,4, CA,0.0,nf,998
Dataworks ,Data Scientist,130000.0,Data Scientist New York Hybrid Competitive Salary plus Benefits Bonus TECH STACK Python SQL PowerBI Tableau AWS GCP This exciting opportunity join one fastest growing tech companies US looking experienced Data Scientist whose role provide key insights business problems work predictive machine learning algorithms deployment ABOUT THE COMPANY This organization one fastest growing firms east coast also one highestrated Glassdoor This means chance shape fantastic career also enjoy working The business invested multiple millions dollars data platform includes hiring top team senior management experts respective disciplines,5.0,"New York, NY",1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),10833.33,3, NY,0.0,nf,869
FanDuel ,Data Scientist,124823.72,Data Scientist New York Hybrid Competitive Salary plus Benefits Bonus TECH STACK Python SQL PowerBI Tableau AWS GCP This exciting opportunity join one fastest growing tech companies US looking experienced Data Scientist whose role provide key insights business problems work predictive machine learning algorithms deployment ABOUT THE COMPANY This organization one fastest growing firms east coast also one highestrated Glassdoor This means chance shape fantastic career also enjoy working The business invested multiple millions dollars data platform includes hiring top team senior management experts respective disciplines,-1.0,"Jersey City, NJ",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, NJ,0.0,nf,869
FanDuel ,Data Scientist,115000.0,ABOUT FANDUEL FanDuel Group FanDuel innovative sportstech entertainment company changing way consumers engage favorite sports teams leagues The premier gaming destination United States FanDuel consists portfolio leading brands across gaming sports betting daily fantasy sports advancedeposit wagering TVmedia FanDuel presence across 50 states approximately 17 million customers 28 retail locations FanDuel based New York offices New Jersey Georgia California Oregon Canada Scotland Its networks FanDuel TV FanDuel broadly distributed linear cable television relationships leading directtoconsumer overthetop platforms,4.1,"Jersey City, NJ",501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),9583.33,15, NJ,0.0,nf,766
AirDNA ,Data Scientist,115000.0,AirDNA began big dream balmy California garage 2015 Since technology startup grown leading provider data business intelligence billiondollar travel vacation rental industry—with offices Denver Barcelona Our selfserve platform eliminates guesswork equips Airbnb hosts smart competitive insights needed succeed everevolving shortterm rental landscape We also arm enterprise clients customized reports indepth dashboards ensure scale invest strategically These customers include hundreds top financial institutions real estate companies vacation rental managers destination marketing organizations around world We track daily performance 10 million Airbnb Vrbo properties across 120000 global markets We also collect data million partner properties This marriage scraped source data enhanced proprietary algorithms makes solutions accurate comprehensive world We’re firm believers data isn’t destination it’s starting point The launchpad The bedrock futureforward business,4.5,"Denver, CO",51 to 200 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,9583.33,9, CO,0.0,nf,1203
"Stride, Inc. ",Data Scientist,122500.0,Job Description The Data Scientist responsibility end end modeling data product creation based machine learning vast data sets The Data Scientist responsible model design evaluation deployment using standardized Stride coding best practices Data Scientist provide technical guidance analysts crossfunctional projects develop understanding Stride business use data improve student retention academic outcomes The Data Scientist deeply experienced passionate solving problems quantitative analysis comfortable manipulating summarizing data able set priorities facilitate collaborative work complex projects Heshe drive increased production data products directly linked actionable business decisions Regular,3.2,Virginia,5001 to 10000 Employees,1999,Company - Public,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),10208.33,25,Virginia,0.0,nf,871
Epistemix ,Data Scientist - Synthetic Populations,124823.72,Data Scientist Synthetic Population Engineer Synthetic data power make modeling machine learning applications quicker cheaper deploy creates opportunity address limitations biases present available empirical data A synthetic population synthetic dataset represents attributes relationships individual people real population environment They empower customers solve problems domains empirical data unavailable due legitimate concerns personal privacy data unavailable Epistemix looking data engineer join synthetic population team advance stateoftheart synthetic populations In role work help improve decisions could affect millions people around world,5.0,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,832
CVS Health ,Data Scientist - Payment Accuracy,125403.0,Bring heart CVS Health Every one us CVS Health shares single clear purpose Bringing heart every moment health This purpose guides commitment deliver enhanced humancentric health care rapidly changing world Anchored brand — heart center — purpose sends personal message deliver services important deliver Our Heart At Work Behaviors™ support purpose We want everyone works CVS Health feel empowered role play transforming culture accelerating ability innovate deliver solutions make health care personal convenient affordable 7570500 15450000,3.1,"Hartford, CT",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),10450.25,61, CT,0.0,nf,731
Twinn Intelligence Group ,Machine Learning Engineer,200000.0,Twinn seeking SME level engineer Machine Learning experience ACTIVE TSSCI Top Poly REQUIRED SKILLS Demonstrated experience tuning neural networks LLMs custom data sets applying results specific use cases Demonstrated professional academic experience developing models ensembles AIML space including selecting best Python libraries given task choosing appropriate preprocessing actions performing analysis assessing model performance,5.0,"McLean, VA",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),16666.67,7, VA,0.0,nf,515
"LineVision, Inc. ","Computer Vision Expert, Data Scientist",124823.72,Bring computer vision Take LineVision next level Accelerate netzero grid Were looking Computer Vision Expert play key role revolutionizing integration renewable energy global electric grids Your expertise instrumental elevating quality precision algorithms particularly challenging conditions contributions significantly impact development software hardware systems within dynamic impactful team What Core Responsibilities Key Performance Objectives,4.6,United States,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,United States,0.0,nf,582
D.C. United ,Data Scientist,114726.0,JOB SUMMARY We seeking data scientist Soccer Operations department DC United Subject minimum qualifications listed welcome applicants levels experience This position report directly Assistant General Manager The primary focus role data analysis modeling front backend development skills considered plus applicant This position available either inperson remote work occasional travel ESSENTIAL FUNCTIONS DUTIES AND RESPONSIBILITIES Quantify evaluate project performance abilities soccer players teams,4.2,"Washington, DC",51 to 200 Employees,-1,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),9560.5,-1, DC,1.0,nf,648
Curai ,Senior Data Scientist,200000.0,Curai Health AIpowered virtual clinic mission improve access care scale As pioneer deploying machine learning clinical workflows Curai Health enables dedicated specially trained clinicians deliver primary care people fraction cost Easytouse convenient Curai Health partners insurers health systems keep patients engaged care time improving health outcomes reducing costs Our company remotefirst consider candidates across United States Our corporate office San Francisco Data Science Curai,4.8,Remote,51 to 200 Employees,2017,Company - Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable,16666.67,7,Remote,1.0,senior,620
Kampgrounds Of America ,DATA SCIENTIST,90000.0,ABOUT KAMPGROUNDS OF AMERICA INC Kampgrounds America Inc KOA world’s largest network privately owned campgrounds leader outdoor hospitality KOA 500 locations across United States Canada including mix franchised companyowned parks KOA approximately 130 employees corporate headquarters Billings Montana 1200 across location Founded 1962 mission KOA “connecting people outdoors other” represent brand share values familyoriented enthusiastic entrepreneurial customerfocused progressive REPORTS TO Director Product Strategy POSITION SUMMARY At KOA rely insightful data power systems solutions We’re seeking experienced data scientist deliver insights daily basis The ideal candidate mathematical statistical expertise along natural curiosity creative mind While mining interpreting cleaning data person relied ask questions connect dots uncover hidden opportunities realizing data’s full potential building data products extracting valuable business insights As part team data scientist “slice dice” data using various methods create new visions future supporting product sales leadership marketing teams insights gained analyzing company data The candidate must proven ability drive business results databased insights They must comfortable working wide range stakeholders functional teams The right candidate passion discovering solutions hidden data sets working stakeholders improve business outcomes SUPERVISORY DUTIES RELATIONSHIPS Nonsupervisory Position This position work closely DBA Director Product Strategy Director Product Development Director IT Operations Support team various stakeholders Remote work authorized position including full time remote work approved supervisor SPECIFIC DUTIES EXPECTED RESULTS JOB QUALIFICATIONS Kampgrounds Of America INC Equal Opportunity Employer strives provide environment employees applicants treated respect The company committed fair treatment people This value ensures employees candidates treated equally protected discrimination harassment kind This includes discrimination basis race religion color national origin ancestry gender gender identity age sexual orientation protected status,3.4,Remote,501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,$100 to $500 million (USD),7500.0,-1,Remote,1.0,nf,2733
Vicinitas Therapeutics ,Bioinformatics Scientist/ Data Scientist,122500.0,Bioinformatics Scientist Data Scientist Vicinitas Therapeutics biotechnology company focused targeted protein stabilizers known Deubiquitinase Targeting Chimeras DUBTACs The company’s mission use proprietary technology solve critical problems human health developing nextgeneration disease therapies entire class previously inaccessible diseasecausing proteins Spun academicindustry collaboration Novartis Institutes BioMedical Research University California Berkeley Vicinitas Therapeutics based South San Francisco California For information visit wwwvicinitascom We seeking Bioinformatics Scientist Chemical Biology ChemBio group The ChemBio group responsible production analysis data aid design optimization novel bifunctional DUBTACs protein stabilization This analysis performed via proteomics investigations informatic inquiry This position work crossfunctionally help ChemBio team ingest understand data departments via building userbased interfaces visualization complex data The creation endtoend pipelines faster processing quality control automation common procedures associated role essential support company growth These efforts primarily cloud based supported candidate manager This position also assist IT responsibilities entire organization,-1.0,"San Francisco, CA",1 to 50 Employees,-1,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,10208.33,-1, CA,0.0,nf,1559
UNKNOWN ,Senior Data Analyst,75000.0,Job Title Senior Data Analyst Position Overview This position broad range responsibilities including providing operational support production team assisting clients data mailings working vendors questions regarding software requirements The primary job description role prep run customer mailing lists utilizing postal software BCC mailing services This role vital maximizing available postal discounts clients preparing excel spreadsheets addressing mail print facility This role interface directly clients regarding data work help maximize valid addresses This role works closely production team prepress imposition files production,-1.0,"Woburn, MA",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,6250.0,-1, MA,0.0,senior,837
